policy_name,trajectory_id,title,visit_number,previous_expected_action,expected_action,policy_selected_action,evidence_state_inferred,evidence_status_stage_adjusted,failure_being_tested,authorization_dependency,conservative_margin_trigger,ptmar_flag,aacr_flag,defer_flag,unsafe_authorization_flag,over_deferral_flag,correct_authorization_flag
permissive,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
standard,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
permissive,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
standard,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,2,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
permissive,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
standard,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
conservative_margin,OGR_TRJ_011,Over-deferral despite sufficient evidence for continuation,3,continue_therapy,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,sufficient evidence for safe continuation should not trigger unnecessary escalation or deferral,restaging_imaging; safety_labs; toxicity_assessment; clinical_stability,none,False,True,False,False,False,True
permissive,OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
standard,OGR_TRJ_012,Over-treatment from weak isolated progression signal,1,none_first_visit,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,a weak isolated concerning signal should not authorize therapy switching when overall evidence supports continued treatment,trend_confirmation; restaging_imaging; safety_labs; clinical_context,none,False,True,False,False,False,True
