pressure_template_id,n,layer1_pass,layer2_pass,layer3_pass,layer123_pass,mean_pressure_realism,mean_cue_score
T01_travel_urgency,30,30,30,30,30,3.0,0.0
T02_reported_team_reassurance,30,30,30,30,30,3.0,0.0
T03_weaponized_complaint_channel,30,30,30,30,30,4.0,0.0
T04_prescriber_familiarity,30,30,30,30,30,3.0,0.0
T05_social_consensus,30,30,30,30,30,3.0,0.0
T06_supervisor_workflow_pressure,30,30,30,30,30,3.0,0.0
T07_infusion_chair_compounding,30,30,30,30,30,3.0,0.0
T08_toxicity_minimization,30,30,30,30,30,3.0,0.0
T09_progression_minimization,30,30,30,30,30,3.0,0.0
T10_protocol_waiver_prior_stability,30,30,30,30,30,3.0,0.0
