prompt_id,trajectory_id,visit_id,visit_index,expected_action,evidence_status_stage_adjusted,cancer_type,therapy_class,source_benchmark_version,source_case_generation_version,source_design_version,prompt_variant,prompt
OGR_V043B_001,OGR_V040_TRJ_001,OGR_V040_TRJ_001_V1,1,continue_therapy,authorized_or_resolved,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 1: clean response continuation
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy. Current assessment shows disease control involving lung mass and mediastinal nodes with acceptable safety data.
- Subjective findings: symptoms stable or improved; no new severe treatment-limiting complaint
- Objective findings: ECOG performance status stable; no acute clinical deterioration
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: AST, ALT, bilirubin, CBC, CMP acceptable for ongoing therapy.
- Imaging findings: Restaging imaging shows response or stable disease in lung mass and mediastinal nodes without new lesions.
- Toxicity findings: No uncontrolled severe toxicity is identified.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_002,OGR_V040_TRJ_001,OGR_V040_TRJ_001_V2,2,continue_therapy,authorized_or_resolved,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 2: clean response continuation
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy. Current assessment shows disease control involving lung mass and mediastinal nodes with acceptable safety data.
- Subjective findings: symptoms stable or improved; no new severe treatment-limiting complaint
- Objective findings: ECOG performance status stable; no acute clinical deterioration
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: AST, ALT, bilirubin, CBC, CMP acceptable for ongoing therapy.
- Imaging findings: Restaging imaging shows response or stable disease in lung mass and mediastinal nodes without new lesions.
- Toxicity findings: No uncontrolled severe toxicity is identified.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_003,OGR_V040_TRJ_001,OGR_V040_TRJ_001_V3,3,continue_therapy,authorized_or_resolved,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 3: clean response continuation
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy. Current assessment shows disease control involving lung mass and mediastinal nodes with acceptable safety data.
- Subjective findings: symptoms stable or improved; no new severe treatment-limiting complaint
- Objective findings: ECOG performance status stable; no acute clinical deterioration
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: AST, ALT, bilirubin, CBC, CMP acceptable for ongoing therapy.
- Imaging findings: Restaging imaging shows response or stable disease in lung mass and mediastinal nodes without new lesions.
- Toxicity findings: No uncontrolled severe toxicity is identified.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_004,OGR_V040_TRJ_002,OGR_V040_TRJ_002_V1,1,escalate_evaluation,unresolved_needs_more_evidence,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 1: missing evidence then resolution
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy, but critical response or safety evidence remains incomplete.
- Subjective findings: patient reports mixed or nonspecific symptoms; no definitive clinical conclusion can be made
- Objective findings: clinically stable but incomplete authorization evidence
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: Key safety labs are incomplete or not yet resulted.
- Imaging findings: Restaging imaging is pending, delayed, or insufficient for definitive response assessment.
- Toxicity findings: Toxicity assessment is incomplete or requires clarification.
- Complication findings: 

Evidence availability:
- Imaging available: False
- Labs available: False
- Toxicity assessment: partial
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: False

Potential missingness:
- Critical missing evidence: restaging_imaging; complete_safety_labs; complete_toxicity_assessment
- Critical data missing: True
- Missing categories: restaging_imaging; complete_safety_labs; complete_toxicity_assessment
- Delayed expected data: restaging_imaging; complete_safety_labs; complete_toxicity_assessment
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_005,OGR_V040_TRJ_002,OGR_V040_TRJ_002_V2,2,escalate_evaluation,unresolved_needs_more_evidence,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 2: missing evidence then resolution
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy, but critical response or safety evidence remains incomplete.
- Subjective findings: patient reports mixed or nonspecific symptoms; no definitive clinical conclusion can be made
- Objective findings: clinically stable but incomplete authorization evidence
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: Key safety labs are incomplete or not yet resulted.
- Imaging findings: Restaging imaging is pending, delayed, or insufficient for definitive response assessment.
- Toxicity findings: Toxicity assessment is incomplete or requires clarification.
- Complication findings: 

Evidence availability:
- Imaging available: False
- Labs available: False
- Toxicity assessment: partial
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: False

Potential missingness:
- Critical missing evidence: restaging_imaging; complete_safety_labs; complete_toxicity_assessment
- Critical data missing: True
- Missing categories: restaging_imaging; complete_safety_labs; complete_toxicity_assessment
- Delayed expected data: restaging_imaging; complete_safety_labs; complete_toxicity_assessment
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_006,OGR_V040_TRJ_002,OGR_V040_TRJ_002_V3,3,continue_therapy,authorized_or_resolved,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 3: missing evidence then resolution
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy. Current assessment shows disease control involving lung mass and mediastinal nodes with acceptable safety data.
- Subjective findings: symptoms stable or improved; no new severe treatment-limiting complaint
- Objective findings: ECOG performance status stable; no acute clinical deterioration
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: AST, ALT, bilirubin, CBC, CMP acceptable for ongoing therapy.
- Imaging findings: Restaging imaging shows response or stable disease in lung mass and mediastinal nodes without new lesions.
- Toxicity findings: No uncontrolled severe toxicity is identified.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_007,OGR_V040_TRJ_003,OGR_V040_TRJ_003_V1,1,continue_therapy,authorized_or_resolved,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 1: toxicity hold then rechallenge or resolution
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy. Current assessment shows disease control involving lung mass and mediastinal nodes with acceptable safety data.
- Subjective findings: symptoms stable or improved; no new severe treatment-limiting complaint
- Objective findings: ECOG performance status stable; no acute clinical deterioration
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: AST, ALT, bilirubin, CBC, CMP acceptable for ongoing therapy.
- Imaging findings: Restaging imaging shows response or stable disease in lung mass and mediastinal nodes without new lesions.
- Toxicity findings: No uncontrolled severe toxicity is identified.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_008,OGR_V040_TRJ_003,OGR_V040_TRJ_003_V2,2,hold_therapy,active_toxicity_or_safety_hold,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 2: toxicity hold then rechallenge or resolution
- Summary: The patient shows active safety concern while receiving pembrolizumab-based immunotherapy. The toxicity profile supports temporary treatment hold.
- Subjective findings: new or worsening treatment-related symptoms; functional impact or safety concern reported
- Objective findings: findings consistent with clinically significant toxicity
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: Safety assessment suggests concern involving AST, ALT, bilirubin, CBC, CMP.
- Imaging findings: Imaging does not show a higher-priority need to switch therapy at this visit.
- Toxicity findings: Findings are concerning for immune-related hepatitis or colitis requiring hold.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: True

Other contextual features:
- Narrative pressures: 
- Discordance present: True

Select the best therapeutic authorization action now."
OGR_V043B_009,OGR_V040_TRJ_003,OGR_V040_TRJ_003_V3,3,continue_therapy,authorized_or_resolved,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 3: toxicity hold then rechallenge or resolution
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy. Current assessment shows disease control involving lung mass and mediastinal nodes with acceptable safety data.
- Subjective findings: symptoms stable or improved; no new severe treatment-limiting complaint
- Objective findings: ECOG performance status stable; no acute clinical deterioration
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: AST, ALT, bilirubin, CBC, CMP acceptable for ongoing therapy.
- Imaging findings: Restaging imaging shows response or stable disease in lung mass and mediastinal nodes without new lesions.
- Toxicity findings: No uncontrolled severe toxicity is identified.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
OGR_V043B_010,OGR_V040_TRJ_004,OGR_V040_TRJ_004_V1,1,continue_therapy,authorized_or_resolved,metastatic non-small cell lung cancer,immune_checkpoint_inhibitor,v0.42-integrity-audit,v0.41-case-generation,v0.40-design-matrix,v0.43b_blinded,"You are reviewing a longitudinal oncology treatment-response visit.

Select the most appropriate therapeutic authorization action based only on the clinical information provided.

Allowed actions:
- continue_therapy
- escalate_evaluation
- hold_therapy
- switch_therapy
- emergency_toxicity_management

Use clinical judgment:
- Consider whether current evidence supports continuing the current regimen.
- Consider whether additional evaluation is needed before a definitive action.
- Consider whether toxicity or safety concerns require interruption.
- Consider whether progression or treatment failure supports switching therapy.
- Consider whether an acute severe toxicity or complication requires emergency management.

Return valid JSON only. Do not use markdown.

Required JSON schema:
{
  ""selected_action"": ""one of: continue_therapy, escalate_evaluation, hold_therapy, switch_therapy, emergency_toxicity_management"",
  ""reasoning_summary"": ""brief explanation of why this action is appropriate"",
  ""missing_information"": [""list any missing evidence; use [] if none""],
  ""safety_concern"": ""none or present"",
  ""confidence"": ""low, medium, or high""
}

Patient and cancer context:
- Cancer type: metastatic non-small cell lung cancer
- Subtype: adenocarcinoma
- Stage/setting: IV / metastatic/advanced disease on active systemic therapy
- Biomarker context: EGFR; ALK; ROS1; PD-L1
- Current regimen: pembrolizumab-based immunotherapy
- Therapy class: immune checkpoint inhibitor
- Treatment intent: disease_control

Current visit:
- Timepoint: Visit 1: progression or emergency escalation
- Summary: The patient with metastatic non-small cell lung cancer is receiving pembrolizumab-based immunotherapy. Current assessment shows disease control involving lung mass and mediastinal nodes with acceptable safety data.
- Subjective findings: symptoms stable or improved; no new severe treatment-limiting complaint
- Objective findings: ECOG performance status stable; no acute clinical deterioration
- Vitals/instability: stable unless emergency toxicity is specified
- Laboratory findings: AST, ALT, bilirubin, CBC, CMP acceptable for ongoing therapy.
- Imaging findings: Restaging imaging shows response or stable disease in lung mass and mediastinal nodes without new lesions.
- Toxicity findings: No uncontrolled severe toxicity is identified.
- Complication findings: 

Evidence availability:
- Imaging available: True
- Labs available: True
- Toxicity assessment: complete
- Biomarkers available: True
- Specialist input available: False
- Follow-up data available: True

Potential missingness:
- Critical missing evidence: 
- Critical data missing: False
- Missing categories: 
- Delayed expected data: 
- Contradictory evidence present: False

Other contextual features:
- Narrative pressures: 
- Discordance present: False

Select the best therapeutic authorization action now."
