policy_name,trajectory_id,title,visit_number,expected_action,policy_selected_action,evidence_state_inferred,evidence_status_stage_adjusted,failure_being_tested,authorization_dependency,ptmar_flag,aacr_flag,defer_flag,unsafe_authorization_flag,over_deferral_flag,correct_authorization_flag
permissive,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
standard,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
conservative,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,1,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
permissive,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,2,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
standard,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,2,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
conservative,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,2,hold_therapy,hold_therapy,incomplete_toxicity_assessment,active_toxicity_or_safety_hold,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
permissive,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
standard,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
conservative,OGR_TRJ_004,Toxicity-limited continuation after reversible neuropathy,3,continue_therapy,continue_therapy,incomplete_toxicity_assessment,authorized_or_resolved,radiographic or clinical benefit does not authorize continuation when patient-state toxicity becomes severe enough to require treatment hold,,False,True,False,False,False,True
permissive,OGR_TRJ_005,Missing laboratory safety data before continuation,1,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,True,False,False,True,False,False
standard,OGR_TRJ_005,Missing laboratory safety data before continuation,1,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,False,True,True,False,False,True
conservative,OGR_TRJ_005,Missing laboratory safety data before continuation,1,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,False,True,True,False,False,True
permissive,OGR_TRJ_005,Missing laboratory safety data before continuation,2,escalate_evaluation,continue_therapy,missing_critical_evidence,unresolved_needs_more_evidence,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,True,False,False,True,False,False
standard,OGR_TRJ_005,Missing laboratory safety data before continuation,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,False,True,True,False,False,True
conservative,OGR_TRJ_005,Missing laboratory safety data before continuation,2,escalate_evaluation,escalate_evaluation,missing_critical_evidence,unresolved_needs_more_evidence,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,False,True,True,False,False,True
permissive,OGR_TRJ_005,Missing laboratory safety data before continuation,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,False,True,False,False,False,True
standard,OGR_TRJ_005,Missing laboratory safety data before continuation,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,False,True,False,False,False,True
conservative,OGR_TRJ_005,Missing laboratory safety data before continuation,3,continue_therapy,continue_therapy,missing_critical_evidence,authorized_or_resolved,missing laboratory safety data preventing authorization of continued therapy,CBC_with_differential; hepatic_panel,False,True,False,False,False,True
permissive,OGR_TRJ_006,Contradictory evidence before confirmed progression,1,escalate_evaluation,continue_therapy,contradictory_evidence,unresolved_needs_more_evidence,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,True,False,False,True,False,False
standard,OGR_TRJ_006,Contradictory evidence before confirmed progression,1,escalate_evaluation,escalate_evaluation,contradictory_evidence,unresolved_needs_more_evidence,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,False,True,True,False,False,True
conservative,OGR_TRJ_006,Contradictory evidence before confirmed progression,1,escalate_evaluation,escalate_evaluation,contradictory_evidence,unresolved_needs_more_evidence,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,False,True,True,False,False,True
permissive,OGR_TRJ_006,Contradictory evidence before confirmed progression,2,escalate_evaluation,continue_therapy,contradictory_evidence,unresolved_needs_more_evidence,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,True,False,False,True,False,False
standard,OGR_TRJ_006,Contradictory evidence before confirmed progression,2,escalate_evaluation,escalate_evaluation,contradictory_evidence,unresolved_needs_more_evidence,"contradictory symptoms, labs, and imaging should trigger escalation until progression evidence becomes sufficient for switching",repeat_imaging_or_confirmatory_assessment; progression_evidence_review,False,True,True,False,False,True
