ref_num,citation_key,reference,doi_or_url,verified_status,supports
1,Goh2024_JAMANetworkOpen,"Goh E, Gallo R, Hom J, et al. Large Language Model Influence on Diagnostic Reasoning: A Randomized Clinical Trial. JAMA Network Open. 2024.",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2825395,verified_online,Clinical LLM evaluation; LLM availability did not significantly improve physicians' diagnostic reasoning compared with conventional resources.
2,Hager2024_NatureMedicine,"Hager P, Jungmann F, Holland R, et al. Evaluation and mitigation of the limitations of large language models in clinical decision-making. Nature Medicine. 2024;30:2613-2622.",https://doi.org/10.1038/s41591-024-03097-1,verified_online,LLMs are not ready for autonomous clinical decision-making; models may fail instruction following and workflow integration.
3,Vasey2022_DECIDEAI,"Vasey B, Nagendran M, Campbell B, et al. Reporting guideline for the early-stage clinical evaluation of decision support systems driven by artificial intelligence: DECIDE-AI. Nature Medicine. 2022;28:924-933.",https://doi.org/10.1038/s41591-022-01772-9,verified_online,Reporting guidance for early-stage clinical AI decision-support evaluation.
4,Liu2020_CONSORTAI,"Liu X, Rivera SC, Moher D, Calvert MJ, Denniston AK. Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension. Nature Medicine. 2020;26:1364-1374.",https://doi.org/10.1038/s41591-020-1034-x,verified_online,Transparent reporting for clinical trials involving AI interventions.
5,Rivera2020_SPIRITAI,"Rivera SC, Liu X, Chan AW, Denniston AK, Calvert MJ. Guidelines for clinical trial protocols for interventions involving artificial intelligence: the SPIRIT-AI extension. Nature Medicine. 2020;26:1351-1363.",https://doi.org/10.1038/s41591-020-1037-7,verified_online,Transparent protocol reporting for clinical trials involving AI interventions.
6,NIST2023_AIRMF,National Institute of Standards and Technology. Artificial Intelligence Risk Management Framework (AI RMF 1.0). NIST AI 100-1. 2023.,https://www.nist.gov/itl/ai-risk-management-framework,verified_online,AI risk management and governance framing.
7,WHO2021_HealthAIGovernance,World Health Organization. Ethics and governance of artificial intelligence for health. 2021.,https://www.who.int/publications/i/item/9789240029200,verified_online,Ethical and governance principles for AI in health.
8,Schneider2021_ASCOirAE,"Schneider BJ, Naidoo J, Santomasso BD, et al. Management of Immune-Related Adverse Events in Patients Treated With Immune Checkpoint Inhibitor Therapy: ASCO Guideline Update. Journal of Clinical Oncology. 2021.",https://doi.org/10.1200/JCO.21.01440,verified_online,Oncology toxicity management; continue/hold/escalate treatment decisions based on toxicity severity.
9,Brahmer2018_ASCOirAE,"Brahmer JR, Lacchetti C, Schneider BJ, et al. Management of Immune-Related Adverse Events in Patients Treated With Immune Checkpoint Inhibitor Therapy: American Society of Clinical Oncology Clinical Practice Guideline. Journal of Clinical Oncology. 2018;36:1714-1768.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6481621/,verified_online,"Clinical action channels for immune-related adverse event management, including suspend/hold and resume decisions."
10,Geirhos2020_ShortcutLearning,"Geirhos R, Jacobsen JH, Michaelis C, et al. Shortcut learning in deep neural networks. Nature Machine Intelligence. 2020;2:665-673.",https://doi.org/10.1038/s42256-020-00257-z,verified_online,Shortcut learning; benchmark performance can fail to transfer to harder or more realistic conditions.
