trajectory_id,cancer_type,therapy_class,pattern_id,trajectory_pattern,p4_variant,dominant_failure_mode,authorization_dependency,n_visits,action_path,evidence_status_path
OGR_V040_TRJ_001,NSCLC,immune_checkpoint_inhibitor,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_002,NSCLC,immune_checkpoint_inhibitor,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_003,NSCLC,immune_checkpoint_inhibitor,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_004,NSCLC,immune_checkpoint_inhibitor,P4,progression_or_emergency_escalation,confirmed_progression_switch,premature_switching_or_delayed_switch,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> escalate_evaluation -> switch_therapy,authorized_or_resolved -> unresolved_needs_more_evidence -> progression_or_failure_confirmed
OGR_V040_TRJ_005,NSCLC,targeted_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_006,NSCLC,targeted_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
OGR_V040_TRJ_007,NSCLC,targeted_therapy,P3,toxicity_hold_then_rechallenge_or_resolution,,wrong_channel_escalation_or_over_hold,"toxicity requires holding therapy, followed by reassessment and possible continuation",3,continue_therapy -> hold_therapy -> continue_therapy,authorized_or_resolved -> active_toxicity_or_safety_hold -> authorized_or_resolved
OGR_V040_TRJ_008,NSCLC,targeted_therapy,P4,progression_or_emergency_escalation,emergency_toxicity_management,over_emergency_or_under_emergency_routing,uncertainty evolves to confirmed progression or emergency toxicity,3,continue_therapy -> hold_therapy -> emergency_toxicity_management,authorized_or_resolved -> active_toxicity_or_safety_hold -> emergency_toxicity_confirmed
OGR_V040_TRJ_009,NSCLC,HER2_directed_therapy,P1,clean_response_continuation,,low_continuation_authorization,response and safety evidence are sufficient; continuation should be authorized,3,continue_therapy -> continue_therapy -> continue_therapy,authorized_or_resolved -> authorized_or_resolved -> authorized_or_resolved
OGR_V040_TRJ_010,NSCLC,HER2_directed_therapy,P2,missing_evidence_then_resolution,,over_deferral_or_under_continuation,initial evidence is incomplete but later resolves and supports continuation,3,escalate_evaluation -> escalate_evaluation -> continue_therapy,unresolved_needs_more_evidence -> unresolved_needs_more_evidence -> authorized_or_resolved
