ref_id,topic,candidate_reference,supports,use_in_manuscript,status
R01,Clinical LLM diagnostic reasoning,Goh et al. Large Language Model Influence on Diagnostic Reasoning. JAMA Network Open. 2024.,LLM availability did not significantly improve physician diagnostic reasoning compared with conventional resources.,Introduction and Discussion: LLM reasoning tools need workflow-specific evaluation.,seed_reference_verify_metadata
R02,LLM limitations in clinical diagnosis,Hager et al. Evaluation and mitigation of the limitations of large language models in clinical decision-making. Nature Medicine. 2024.,Current models can underperform trained clinicians and need rigorous limitation analysis.,Introduction: clinical reasoning ability does not equal safe decision support.,seed_reference_verify_metadata
R03,Clinical AI reporting guideline,Vasey et al. DECIDE-AI reporting guideline for early-stage clinical evaluation of AI decision support systems. Nature Medicine/BMJ-linked guideline family. 2022.,Transparent reporting of early-stage clinical AI decision-support studies.,Methods and Supplement: reporting transparency and reproducibility.,seed_reference_verify_metadata
R04,AI risk management,NIST Artificial Intelligence Risk Management Framework (AI RMF 1.0). 2023.,Risk management framing for trustworthy AI systems.,Discussion: governance framing and controlled decision systems.,seed_reference_verify_metadata
R05,Health AI governance,WHO guidance on ethics and governance of artificial intelligence for health.,High-level health AI governance and safety principles.,Discussion and limitations.,needs_web_verification
R06,CONSORT-AI / SPIRIT-AI,CONSORT-AI and SPIRIT-AI reporting extensions.,Clinical trial/reporting standards for AI interventions.,"Methods caveat: study is preclinical/synthetic, not clinical trial.",needs_web_verification
R07,Human factors / clinical pressure,"Authority gradient, interruption, workload, and medication safety human-factors literature.",Clinical pressure can disrupt correct safety-channel execution.,Discussion: naturalistic pressure as action-channel interference.,needs_literature_search
R08,Benchmark leakage / shortcut learning,Shortcut learning and benchmark leakage literature in machine learning evaluation.,Action-cue leakage can inflate benchmark performance.,Discussion: benchmark validity contribution.,needs_literature_search
R09,AI guardrails / controllers,"Guardrails, constrained decision systems, and external safety-controller literature.",Separation of model reasoning from action authorization.,Discussion: evidence-contract control as governance architecture.,needs_literature_search
R10,Oncology toxicity/response management,ASCO/ESMO/NCCN immune-related adverse event and oncology response-management guidance.,"Clinical action channels: hold, switch, evaluate, emergency management.",Methods benchmark rationale and Supplement.,needs_guideline_selection
