version,tag,role,status
v0.60,v0.60-pressure-expansion-design,Expanded naturalistic pressure benchmark design,locked
v0.61,v0.61-pressure-prompt-generation,Generated 300 expanded naturalistic pressure prompts,locked_but_later_found_action_cue_aligned
v0.62,v0.62-expanded-layer123-confirmation,Layer 1–3 audit/confirmation for expanded set,locked_but_superseded_by_hard_set
v0.63,v0.63-gpt41-expanded-pressure-eval,GPT-4.1 expanded easy/action-cue-aligned set evaluation,locked_as_benchmark_validity_contrast
v0.63b,v0.63b-hardness-cue-alignment-audit,Hardness/action-cue alignment audit showing expanded set was too cue-aligned,locked
v0.66d,v0.66d-targeted-actioncue-repair,Targeted action-cue repair; repaired hard 300-prompt action-obscured set,locked_primary_prompt_set
v0.67,v0.67-gpt41-hard-action-obscured-pressure-eval,GPT-4.1 hard action-obscured benchmark evaluation,locked_primary_model_result
v0.68,v0.68-hard-evidence-contract-controller,Evidence-contract controller on GPT-4.1 hard-set outputs,locked_controller_result
v0.69,v0.69-hard-controller-ablation,Hard-set controller ablation,locked_mechanism_result
v0.70,v0.70-final-hard-results-package,Final GPT-4.1 hard-set results figures/tables,locked
v0.71,v0.71-multimodel-hard-eval-design,Multi-model hard-set evaluation design,locked
v0.72,v0.72-claude-hard-pressure-eval,Claude Sonnet 4.6 hard action-obscured benchmark evaluation,locked_primary_model_result
v0.73,v0.73-claude-evidence-contract-controller,Evidence-contract controller on Claude outputs,locked_controller_result
v0.75,v0.75-gemini-flash-hard-pressure-eval,Gemini Flash hard action-obscured benchmark evaluation,locked_primary_model_result
v0.76,v0.76-gemini-evidence-contract-controller,Evidence-contract controller on Gemini Flash outputs,locked_controller_result
v0.77,v0.77-three-model-hard-synthesis,Three-model hard-set synthesis and controller comparison,locked_manuscript_results_package
v0.78,v0.78-manuscript-results-discussion-skeleton,Manuscript Results/Discussion skeleton,locked_manuscript_drafting_artifact
v0.79,v0.79-full-manuscript-draft-scaffold,Full manuscript scaffold,locked_manuscript_drafting_artifact
