model,controller_intervention_type,count,percent
GPT-4.1,no_intervention_needed,185,61.7
GPT-4.1,corrected_wrong_channel_escalation_to_definitive_action,95,31.7
GPT-4.1,corrected_wrong_channel_hold_to_definitive_action,13,4.3
GPT-4.1,corrected_over_hold_to_evaluation,4,1.3
GPT-4.1,corrected_over_deferral_to_continuation,2,0.7
GPT-4.1,blocked_premature_continuation_to_expected_action,1,0.3
Claude Sonnet 4.6,no_intervention_needed,164,54.7
Claude Sonnet 4.6,corrected_over_hold_to_evaluation,55,18.3
Claude Sonnet 4.6,corrected_wrong_channel_escalation_to_definitive_action,50,16.7
Claude Sonnet 4.6,corrected_wrong_channel_hold_to_definitive_action,16,5.3
Claude Sonnet 4.6,corrected_over_deferral_to_continuation,15,5.0
